question_id,source_question_number,source_section,source_heading,old_difficulty,old_tags,answer_status,marks_total,image_paths,duplicate_status,duplicate_reference,题目边界完整,英文题干准确,中文题干自然且含义一致,公式符号单位准确,小问顺序与分值完整,必要图片正确,答案与题目对应,答案数学复核结论,新主类型,新标签,新Level,判级证据,疑点,订正内容,订正证据,复核状态,自动验收结果,Joy审批状态,record_status
M2QD-DA-EXAMPLE-Q1,EXAMPLE-Q1,教材例题,应试例题 3.1（完整题）,4,微分的应用；微分以及微分公式；切线；斜率；外点切线；参数；有理函数,source_provided,7,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,切线与法线,过指定点的切线；切点未知,3,需设未知切点、联立导数斜率与外点斜率并按定义域舍根，是标准的过指定点求切线多步骤题，定为 Level 3。,,solution_original: $\frac{108}{h^{2}}=\frac{(26-\frac{108}{h})-20}{h-10}$,"frozen_sources/M2Quick Drill-微分法的应用.mmd.zip 内 ab3a...mmd 第 359–380 行；extracted_reference/v116_import_snapshot.json 的 correction_id=ex-3.1-tangent-slope；独立联立后得 $h=6,30$。",audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-EXAMPLE-Q2,EXAMPLE-Q2,教材例题,应试例题 3.2（完整题）,3,微分的应用；微分以及微分公式；极值；最大值；有理函数,source_provided,,,new,,通过,通过,通过,通过,分值未知,不适用,通过,通过,极值与曲线性质,极大点,3,需对有理函数求导、处理 $x=-2$ 的断点并自行选择判别方法筛出极大点，属标准多步骤 Level 3。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-EXAMPLE-Q3,EXAMPLE-Q3,教材例题,应试例题 3.3（完整题）,4,微分的应用；微分以及微分公式；全局极值；最小值；多项式,source_provided,4,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,最值与最优化,,4,关键在把六次式视为关于 $x^3$ 的二次式完成因式分解，并结合全域端行为判断全局最小值，含关键转换，定为 Level 4。,受控词表缺少全局最值/全局最小值标签，需 Joy 决定扩词或接受空标签。,,,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-EXAMPLE-Q4,EXAMPLE-Q4,教材例题,应试例题 3.4（完整题）,4,微分的应用；微分以及微分公式；二阶导数；拐点；证明题；指数函数,source_provided,6,,adapted,2022-Q4,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,拐点,3,需连续两次使用乘积/链式法则，并以二阶导数变号验证两个拐点，属标准多步骤 Level 3。,,solution_original: 在 (a) 补上 $\frac{d^2y}{dx^2}=(-x^2+5x-4)e^{-x}$。,frozen_sources/M2Quick Drill-微分法的应用.mmd.zip 内 ab3a...mmd 第 648–656 行；extracted_reference/v116_import_snapshot.json 的 correction_id=ex-3.4-second-derivative。,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-EXAMPLE-Q5,EXAMPLE-Q5,教材例题,应试例题 3.5（完整题）,2,微分的应用；微分以及微分公式；渐近线；有理函数,source_provided,3,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,渐近线,2,识别分母零点并作一次多项式除法即可得到垂直和斜渐近线，属 2–3 个常规步骤的 Level 2。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-EXAMPLE-Q6,EXAMPLE-Q6,教材例题,EX-3.6 (editorial stable identifier)（完整题）,5,微分的应用；微分以及微分公式；法线；最优化；面积；相关变化率；变率；对数函数,source_provided,12,,new,,通过,有疑点,通过,有疑点,通过,不适用,通过,通过,综合微分应用,切点未知求法线；几何最优化；相关变化率；面积变化；建立变量关系；综合题目,5,整题串联法线截距、面积最优化及带上界的相关变化率，需自主建立多层变量关系并处理不等式，属高度综合 Level 5。,,question_text_original: Let $P$ be a moving point lying on $C$. $L$ is a line ...；solution_original: $0\le\left.\frac{dA}{dt}\right|_{p=e}\le\frac{e}{\sqrt{e^2+1}}<1$,frozen_sources/M2Quick Drill-微分法的应用.mmd.zip 内 ab3a...mmd 第 1288–1289 行；complete_questions_45.json 的英文仍保留该错误定界。；同一 MMD 第 1361–1365 行直接得到 $dA/dt<1$；当前 complete_questions_45.json 已补入完整链式推导；独立计算紧上界约为 0.938508。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-EXAMPLE-Q7,EXAMPLE-Q7,教材例题,应试例题 3.7（完整题）,4,微分的应用；微分以及微分公式；相关变化率；变率；隐函数求导；指数函数,source_provided,6,,historical_reference,DSE-2020-Q6,通过,通过,通过,通过,通过,不适用,通过,通过,变率,相关变化率；几何量变化；面积变化；链式法则建模；建立变量关系,4,需把圆面积的给定变率经 $v=2^{u-1}$ 转为 $du/dt$，再传递到三角形面积，属于复杂变量关系建模的 Level 4。,,solution_original: $\frac{dA}{dt}=2\pi\left(u\frac{du}{dt}+v\frac{dv}{dt}\right)=-8\pi$，从而 $\frac{du}{dt}=\frac{-4}{u+2^{2u-2}\ln2}$。,frozen_sources/M2Quick Drill-微分法的应用.mmd.zip 内 ab3a...mmd 第 934–949 行；extracted_reference/v116_import_snapshot.json 的 correction_id=ex-3.7-rate-equation；代入 $u=2$ 后得 $dS/dt=-2$。,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-EXAMPLE-Q8,EXAMPLE-Q8,教材例题,Section B Train-up Zone I 应试例题 1（完整题）,5,微分的应用；微分以及微分公式；极值；切线；二阶导数；凹凸性；指数函数；三角函数,source_provided,9,,adapted,DSE-2023-Q9,通过,有疑点,已规范,通过,通过,不适用,通过,需订正,综合微分应用,极大点；极小点；二阶导数判别法；已知切点求切线；凹凸性；综合题目,4,整题连续考查两阶导数、极值、切线及凹性支撑线性质，并须处理闭区间与切点等号，属多概念整合的 Level 4。,需 Joy 决定是否沿用教材把“lies below”宽松解释为允许在切点相等；严谨数学版本应采用本审计给出的“不高于，且除切点外严格低于”。,"question_text_original: explain why $G$ lies on or below $L$ throughout the interval, and strictly below $L$ except at $x=\pi$；question_text_zh: 解释为什么在该区间内 $G$ 不高于 $L$，且除切点 $(\pi,0)$ 外严格位于 $L$ 下方。；solution_original: Since $f''(x)<0$, $G$ is strictly concave there, so it lies on or below $L$; equality holds only at $x=\pi$.",原始 MMD 第 1220–1226 行及 1273–1284 行；独立代入得 $f(\pi)=L(\pi)=0$，而严格凹性保证其他点 $f(x)<L(x)$。；原始 MMD 第 1226、1281–1284 行；$f(\pi)=L(\pi)=0$。；原始 MMD 第 1273–1285 行；独立数值抽查 $L-f$ 在 $\pi\pm0.1$ 为正、在 $\pi$ 为 0。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q1,TRAIN-Q1,应试训练,应试训练 3 Q1（完整题）,3,微分的应用；微分以及微分公式；切线；隐函数求导,source_provided,6,,historical_reference,DSE-2014-Q3,通过,通过,通过,通过,通过,不适用,通过,通过,切线与法线,切点未知；隐函数求导,3,须先求两个未知切点，再作隐式求导并分别写出切线，属多步骤标准题。,答案来源档案及成员映射尚未在正式记录中改正。,solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第5–30行完整出现本题答案；该成员 SHA-256 为 bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0。；对微分的应用甲部.mmd.zip内c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd直接解压计算SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第5–30行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q2,TRAIN-Q2,应试训练,应试训练 3 Q2（完整题）,4,微分的应用；微分以及微分公式；切线；隐函数求导；外点切线；参数,source_provided,6,,historical_reference,HKDSE-M2-PP-Q9,通过,通过,通过,通过,通过,不适用,通过,通过,切线与法线,过指定点的切线；切点未知；隐函数求导,4,须以未知切点建立切线斜率条件并联立隐式曲线方程，还要排查斜率分母情形。,答案来源档案及成员映射尚未在正式记录中改正。,solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第31–96行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第31–96行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
